,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,price,prediction_label,error
738,planta 2,exterior,1,64.0,True,False,Casco Histórico de Barajas,barajas,169000,193405.13333333336,-24405.13333333336
13417,bajo,exterior,3,95.0,False,False,Valdeacederas,tetuan,315000,412424.1666666666,-97424.16666666663
14463,planta 9,exterior,3,100.0,True,False,Orcasitas,usera,149000,167269.99,-18269.98999999999
12519,planta 1,exterior,4,134.0,True,True,Niño Jesús,retiro,785000,782223.0,2777.0
74,bajo,interior,1,32.0,False,False,Delicias,Arganzuela,139000,136772.7142857143,2227.28571428571
6004,planta 5,interior,5,204.0,True,False,Nuevos Ministerios-Ríos Rosas,chamberi,870000,949183.0,-79183.0
156,planta 1,exterior,1,93.0,True,True,Legazpi,Arganzuela,320000,334510.0,-14510.0
7590,planta 1,exterior,4,104.0,False,False,Quintana,ciudad lineal,260000,267626.0,-7626.0
390,planta 5,exterior,3,82.0,True,False,Acacias,Arganzuela,330000,359009.0,-29009.0
3585,planta 2,exterior,2,60.0,False,False,San Isidro,carabanchel,122300,125895.60833333334,-3595.608333333337
8853,planta 1,exterior,3,115.0,True,True,Sanchinarro,hortaleza,510000,498289.99,11710.01000000001
4694,planta 2,exterior,1,45.0,True,False,Malasaña-Universidad,centro,235000,272040.0,-37040.0
4909,planta 2,exterior,3,106.0,True,False,Prosperidad,chamartin,530000,460560.0,69440.0
5387,planta 3,exterior,3,93.0,True,False,Bernabéu-Hispanoamérica,chamartin,470000,465859.13419913425,4140.865800865751
9637,bajo,exterior,2,66.0,False,True,Aluche,latina,212500,206277.33333333337,6222.666666666628
12239,bajo,exterior,3,195.0,True,False,Jerónimos,retiro,1850000,1416347.0,433653.0
6883,planta 2,exterior,5,194.0,True,False,Gaztambide,chamberi,844000,847616.1295093797,-3616.129509379738
2384,planta 4,exterior,4,250.0,True,True,Guindalera,barrio de salamanca,1145000,1151100.0,-6100.0
10977,planta 3,exterior,4,306.0,True,True,Aravaca,moncloa,1440000,1331250.0,108750.0
10435,planta 1,exterior,5,447.0,True,True,Argüelles,moncloa,1950000,2157639.01,-207639.00999999978
9856,planta 1,exterior,2,66.0,False,False,Puerta del Ángel,latina,139000,148574.97583333333,-9574.97583333333
11634,bajo,exterior,2,59.0,True,False,Palomeras sureste,puente-de-vallecas,114990,131103.8,-16113.799999999988
3134,planta 2,interior,3,95.0,True,True,Opañel,carabanchel,325000,294403.2533333333,30596.746666666702
11096,planta 2,exterior,3,80.0,False,False,Fontarrón,moratalaz,195000,168580.97619047618,26419.023809523816
9377,planta 1,exterior,4,209.0,True,True,Conde Orgaz-Piovera,hortaleza,995000,1286547.6666666665,-291547.6666666665
6938,planta 2,exterior,4,208.0,True,False,Arapiles,chamberi,875000,923566.6666666665,-48566.66666666651
2274,planta 2,exterior,4,413.0,True,False,Goya,barrio de salamanca,2200000,2802320.0,-602320.0
9954,planta 1,exterior,3,95.0,True,True,Campamento,latina,286410,302001.85,-15591.849999999977
5238,planta 2,exterior,3,204.0,True,True,Castilla,chamartin,870000,936869.0,-66869.0
9330,planta 4,exterior,3,215.0,True,True,Palomas,hortaleza,1300000,1164467.708888889,135532.29111111094
13704,planta 4,exterior,2,92.0,True,True,Valdeacederas,tetuan,454000,449200.0,4800.0
14820,planta 3,exterior,3,81.0,False,False,Zofío,usera,150000,154432.0,-4432.0
4616,planta 6,exterior,4,93.0,True,False,Lavapiés-Embajadores,centro,670000,592375.0,77625.0
8506,chalet,exterior,4,394.0,False,True,Peñagrande,fuencarral,1340000,1372396.0,-32396.0
1962,planta 5,exterior,5,192.0,True,False,Guindalera,barrio de salamanca,773000,801310.0,-28310.0
6053,planta 4,exterior,2,108.0,True,False,Nuevos Ministerios-Ríos Rosas,chamberi,780000,771988.2,8011.800000000047
15029,planta 5,exterior,3,95.0,True,True,El Cañaveral,vicalvaro,312000,317050.0,-5050.0
2426,planta 3,exterior,2,105.0,True,False,Guindalera,barrio de salamanca,472500,472500.0,0.0
13202,entreplanta,exterior,1,40.0,False,False,Amposta,san-blas,79900,104474.56983333334,-24574.569833333342
12037,planta 4,exterior,2,113.0,True,False,Ibiza,retiro,940000,896290.0,43710.0
15606,planta 3,exterior,1,55.0,True,True,Butarque,villaverde,158000,189825.0,-31825.0
5378,planta 12,exterior,4,211.0,True,True,Nueva España,chamartin,1500000,1433750.0,66250.0
13362,planta 2,exterior,2,38.0,False,False,Cuatro Caminos,tetuan,230000,206036.0,23964.0
337,planta 2,interior,2,90.0,True,False,Chopera,Arganzuela,460000,320450.0966666667,139549.90333333332
2718,bajo,exterior,3,79.0,False,True,San Isidro,carabanchel,144900,168511.03,-23611.03
14661,planta 3,exterior,3,85.0,False,False,San Fermín,usera,154999,212871.82,-57872.82000000001
3618,planta 3,interior,2,62.0,False,False,Vista Alegre,carabanchel,122100,127020.99,-4920.990000000005
13138,planta 4,exterior,2,90.0,True,True,Rejas,san-blas,259000,346632.0,-87632.0
6785,sotano,exterior,1,40.0,False,False,Almagro,chamberi,143000,191057.6666666667,-48057.666666666686
7217,planta 3,exterior,5,529.0,True,True,San Juan Bautista,ciudad lineal,1740000,1700989.99,39010.01000000001
8324,planta 7,interior,2,120.0,True,True,Las Tablas,fuencarral,695000,594879.99,100120.01000000001
10310,chalet,exterior,6,265.0,False,False,Chalet adosado en El Plantío,moncloa,990000,999350.0,-9350.0
12501,planta 1,interior,1,58.0,True,False,Pacífico,retiro,250000,257670.0,-7670.0
12844,planta 6,exterior,2,112.0,True,True,Rejas,san-blas,352000,407067.99,-55067.98999999999
8166,planta 7,exterior,5,505.0,True,True,Mirasierra,fuencarral,1424400,2602989.3333333335,-1178589.3333333335
12772,planta 1,exterior,3,84.0,True,False,Hellín,san-blas,223000,247292.36,-24292.359999999986
13949,planta 3,exterior,1,27.0,False,False,Cuatro Caminos,tetuan,135000,141395.0,-6395.0
1532,planta 4,interior,3,70.0,True,False,Fuente del Berro,barrio de salamanca,299900,307808.0,-7908.0
9188,planta 7,exterior,3,140.0,True,True,Valdebebas - Valdefuentes,hortaleza,613000,636321.77,-23321.77000000002
433,planta 5,exterior,5,113.0,True,False,Imperial,Arganzuela,450000,482193.0,-32193.0
15236,planta 2,exterior,3,91.0,True,True,Santa Eugenia,villa-de-vallecas,219900,313458.8047619048,-93558.80476190482
8668,planta 5,exterior,5,201.0,True,True,La Paz,fuencarral,855000,852817.0,2183.0
9248,planta 5,exterior,3,215.0,True,True,Valdebebas - Valdefuentes,hortaleza,780000,813202.6984126985,-33202.69841269846
15751,planta 6,exterior,4,165.0,True,True,Los Ángeles,villaverde,510000,427828.8,82171.20000000001
8925,planta 3,exterior,4,226.0,True,True,Palomas,hortaleza,965000,954109.0,10891.0
6540,bajo,interior,2,73.0,True,False,Almagro,chamberi,485000,443470.0,41530.0
12891,planta 1,exterior,3,146.0,True,True,Rejas,san-blas,408000,422572.5238095238,-14572.523809523787
13347,planta 7,exterior,4,220.0,True,True,Cuzco-Castillejos,tetuan,1095000,1107612.2619047621,-12612.261904762127
7718,entreplanta,exterior,2,62.0,False,False,Pueblo Nuevo,ciudad lineal,157000,173484.99,-16484.98999999999
7995,bajo,exterior,1,35.0,False,False,Pueblo Nuevo,ciudad lineal,123000,118514.66666666666,4485.333333333343
14231,planta 7,exterior,1,42.0,True,True,Cuzco-Castillejos,tetuan,350000,353319.78,-3319.780000000028
8862,planta 1,exterior,2,74.0,True,True,Sanchinarro,hortaleza,390000,371355.300952381,18644.69904761901
4784,planta 2,exterior,4,101.0,False,False,Malasaña-Universidad,centro,500000,498085.6666666666,1914.3333333333721
6574,planta 2,exterior,3,250.0,True,False,Almagro,chamberi,2030000,1712600.0,317400.0
6099,bajo,interior,1,45.0,True,False,Gaztambide,chamberi,199000,221970.0,-22970.0
4913,planta 2,interior,4,135.0,True,False,Bernabéu-Hispanoamérica,chamartin,578000,665228.0,-87228.0
8156,casa,exterior,5,758.0,False,True,Chalet en Mirasierra,fuencarral,2292000,1255966.48,1036033.52
11363,planta 4,exterior,2,60.0,False,False,San Diego,puente-de-vallecas,103000,107856.5,-4856.5
4955,planta 1,exterior,2,90.0,True,False,Bernabéu-Hispanoamérica,chamartin,515000,484134.99,30865.01000000001
14445,planta 2,exterior,4,90.0,False,False,Almendrales,usera,181000,176556.6,4443.399999999994
5414,planta 2,exterior,2,61.0,False,False,Ciudad Jardín,chamartin,249000,248043.0,957.0
4743,planta 2,exterior,4,115.0,True,False,Palacio,centro,720000,656876.0,63124.0
8683,planta 4,exterior,3,62.0,False,False,Tres Olivos - Valverde,fuencarral,158000,163714.8,-5714.799999999988
8567,planta 5,exterior,3,133.0,True,True,Peñagrande,fuencarral,735000,698063.0,36937.0
10170,bajo,exterior,1,80.0,False,False,Puerta del Ángel,latina,208884,217801.67104761902,-8917.67104761902
7862,bajo,exterior,1,86.0,False,False,Ventas,ciudad lineal,225000,227127.98,-2127.9800000000105
8296,planta 1,exterior,3,69.0,False,False,Tres Olivos - Valverde,fuencarral,195000,196420.05666666664,-1420.0566666666418
11383,planta 3,exterior,3,86.0,False,False,San Diego,puente-de-vallecas,148500,143873.71547619053,4626.284523809474
174,planta 7,interior,3,77.0,True,False,Acacias,Arganzuela,397000,410400.0,-13400.0
9902,planta 1,exterior,3,81.0,True,False,Los Cármenes,latina,195000,189836.66666666663,5163.333333333372
13441,planta 1,exterior,3,79.0,True,False,Berruguete,tetuan,440000,346148.4,93851.59999999998
6037,planta 5,exterior,3,160.0,True,False,Almagro,chamberi,950000,954955.5,-4955.5
2613,planta 3,exterior,4,249.0,True,False,Lista,barrio de salamanca,1650000,1622575.0,27425.0
1173,planta 5,exterior,4,155.0,True,False,Goya,barrio de salamanca,799000,800900.0,-1900.0
3128,planta 3,exterior,3,120.0,False,True,Buena Vista,carabanchel,250000,240713.99,9286.01000000001
100,sotano,interior,2,40.0,False,False,Delicias,Arganzuela,144800,147423.2,-2623.2000000000116
802,planta 3,exterior,4,100.0,False,False,Alameda de Osuna,barajas,256000,288618.9,-32618.900000000023
12022,planta 3,exterior,3,104.0,True,False,Pacífico,retiro,520000,696347.9799999999,-176347.97999999986
9582,planta 7,exterior,2,80.0,True,False,Puerta del Ángel,latina,349000,279690.0,69310.0
13857,planta 1,exterior,3,100.0,False,False,Valdeacederas,tetuan,310000,314315.0,-4315.0
3436,planta 1,exterior,3,95.0,False,False,Vista Alegre,carabanchel,175000,186905.1666666667,-11905.166666666686
15063,planta 2,exterior,4,113.0,True,True,Valdebernardo - Valderrivas,vicalvaro,435000,425125.0,9875.0
3143,bajo,exterior,1,57.0,False,False,Comillas,carabanchel,179000,161595.0,17405.0
5018,planta 1,exterior,3,127.0,True,False,Bernabéu-Hispanoamérica,chamartin,950000,806878.0,143122.0
2186,entreplanta,interior,1,48.0,True,False,Guindalera,barrio de salamanca,295000,306100.0,-11100.0
10317,planta 1,exterior,4,174.0,True,True,Casa de Campo,moncloa,830000,837508.2,-7508.199999999953
2663,planta 4,interior,2,72.0,True,False,Vista Alegre,carabanchel,169500,178662.33,-9162.329999999987
11047,planta 4,exterior,2,168.0,True,True,Horcajo,moratalaz,420000,653182.14,-233182.14
15107,planta 1,exterior,3,79.0,True,False,Ambroz,vicalvaro,159900,191795.0,-31895.0
1385,planta 6,interior,2,55.0,True,False,Lista,barrio de salamanca,349000,348530.0,470.0
2301,planta 4,exterior,3,240.0,True,False,Recoletos,barrio de salamanca,2360000,2386761.904761905,-26761.90476190485
11762,planta 2,exterior,3,84.0,True,False,San Diego,puente-de-vallecas,195000,190768.99,4231.010000000009
1113,planta 7,exterior,4,175.0,True,False,Ático en Fuente del Berro,barrio de salamanca,1138000,912571.1670505638,225428.83294943615
12711,planta 1,exterior,3,143.0,True,True,Rejas,san-blas,370000,397524.5238095238,-27524.523809523787
1211,planta 3,exterior,2,103.0,True,False,Goya,barrio de salamanca,669000,681830.0,-12830.0
168,bajo,exterior,4,185.0,False,True,Imperial,Arganzuela,395000,418387.9975,-23387.997499999998
11718,planta 1,exterior,3,71.0,False,False,Palomeras sureste,puente-de-vallecas,143500,145807.0,-2307.0
9242,planta 1,exterior,2,80.0,True,True,Sanchinarro,hortaleza,415000,401864.87095238105,13135.129047618946
6377,planta 3,interior,2,75.0,True,True,Arapiles,chamberi,485000,430538.98,54461.02000000002
15277,chalet,exterior,3,135.0,False,True,Ensanche de Vallecas - La Gavia,villa-de-vallecas,411000,411630.64841269836,-630.648412698356
10274,planta 1,exterior,2,35.0,True,False,Puerta del Ángel,latina,125000,122908.06,2091.9400000000023
8364,planta 15,exterior,3,110.0,True,False,Pilar,fuencarral,485000,435440.97,49559.03000000003
207,planta 1,exterior,1,37.0,False,False,Acacias,Arganzuela,235000,200106.0,34894.0
1205,planta 2,exterior,2,90.0,True,False,Guindalera,barrio de salamanca,360000,370030.0,-10030.0
15727,planta 2,exterior,3,70.0,True,False,Villaverde Alto,villaverde,185000,147099.61111111112,37900.388888888876
1671,planta 4,exterior,5,445.0,True,True,Recoletos,barrio de salamanca,2900000,3052700.0,-152700.0
2987,planta 1,exterior,2,75.0,False,False,San Isidro,carabanchel,168000,162964.67138743613,5035.32861256387
13589,bajo,exterior,3,70.0,False,False,Berruguete,tetuan,178000,192196.82333333333,-14196.823333333334
15101,planta 3,exterior,3,70.0,True,False,Casco Histórico de Vicálvaro,vicalvaro,156000,175859.5,-19859.5
10015,bajo,exterior,2,55.0,False,False,Puerta del Ángel,latina,125000,138310.49,-13310.48999999999
7855,bajo,exterior,3,73.0,True,False,Ventas,ciudad lineal,225000,213880.6666666667,11119.333333333314
11871,planta 1,exterior,4,55.0,True,False,Numancia,puente-de-vallecas,490000,354166.45,135833.55
1018,planta 3,exterior,2,75.0,True,True,Lista,barrio de salamanca,650000,612916.6666666667,37083.333333333256
3872,planta 3,exterior,4,121.0,False,False,Lavapiés-Embajadores,centro,479000,474067.0,4933.0
14528,planta 3,exterior,3,95.0,True,False,Moscardó,usera,210000,237091.27,-27091.26999999999
15786,planta 3,exterior,1,72.0,True,False,Dúplex en Villaverde Alto,villaverde,150900,158934.6452380952,-8034.645238095196
5322,planta 3,exterior,4,164.0,True,True,Nueva España,chamartin,1550000,1522800.0,27200.0
9117,planta 2,exterior,3,75.0,True,False,Pinar del Rey,hortaleza,212000,205606.88,6393.119999999995
2125,planta 5,exterior,2,121.0,True,False,Lista,barrio de salamanca,639000,740080.3333333335,-101080.33333333349
12914,planta 2,exterior,4,125.0,True,False,Canillejas,san-blas,290000,334047.0,-44047.0
14199,planta 1,exterior,1,68.0,True,False,Berruguete,tetuan,247200,237233.89333333337,9966.10666666663
9085,planta 4,exterior,4,180.0,True,True,Palomas,hortaleza,860900,855084.1059523809,5815.894047619076
2038,planta 6,interior,1,89.0,True,False,Recoletos,barrio de salamanca,690000,692050.0,-2050.0
10013,bajo,exterior,2,40.0,True,False,Puerta del Ángel,latina,118000,131297.82,-13297.820000000007
5835,planta 5,exterior,4,220.0,True,True,El Viso,chamartin,1500000,2062050.0,-562050.0
15808,planta 3,exterior,2,69.0,True,False,Los Rosales,villaverde,123000,123811.62142857144,-811.6214285714377
15564,planta 3,exterior,3,108.0,True,False,Butarque,villaverde,235000,274826.0,-39826.0
7395,planta 2,exterior,3,85.0,True,False,Quintana,ciudad lineal,300000,275172.6666666667,24827.333333333314
178,planta 12,exterior,3,90.0,True,False,Legazpi,Arganzuela,440000,430847.99,9152.01000000001
9999,planta 2,exterior,1,65.0,True,False,Puerta del Ángel,latina,159500,163609.17857142855,-4109.178571428551
12185,planta 3,exterior,4,115.0,True,False,Adelfas,retiro,454900,478758.5,-23858.5
4732,planta 3,exterior,2,130.0,True,False,Chueca-Justicia,centro,990000,974583.0,15417.0
7253,planta 7,exterior,3,76.0,True,False,Costillares,ciudad lineal,185000,211585.7,-26585.70000000001
11647,planta 3,exterior,1,43.0,True,True,San Diego,puente-de-vallecas,245000,239920.0,5080.0
3160,planta 4,exterior,2,75.0,True,False,Vista Alegre,carabanchel,239000,208766.6,30233.399999999994
6555,planta 1,interior,1,72.0,True,False,Trafalgar,chamberi,449000,447756.25,1243.75
12673,planta 1,exterior,3,103.0,True,False,Rosas,san-blas,279999,279999.82262615167,-0.8226261516683735
8057,planta 1,exterior,4,237.0,True,True,Colina,ciudad lineal,1100000,1209346.0,-109346.0
15150,planta 1,exterior,3,98.0,True,True,Casco Histórico de Vallecas,villa-de-vallecas,330000,281341.985,48658.015000000014
4865,chalet,exterior,9,848.0,False,True,Casa o chalet independiente en El Viso,chamartin,5800000,6082600.0,-282600.0
9772,planta 2,exterior,3,83.0,False,False,Aluche,latina,159000,166272.26666666666,-7272.266666666663
9142,planta 1,exterior,4,143.0,True,True,Canillas,hortaleza,695000,644718.3333333334,50281.66666666663
5444,bajo,exterior,3,123.0,False,False,Ciudad Jardín,chamartin,289000,395454.96,-106454.96000000002
12360,planta 4,interior,5,133.0,True,False,Ibiza,retiro,630000,689765.0,-59765.0
3813,planta 2,exterior,2,99.0,True,False,Lavapiés-Embajadores,centro,727000,596381.6666666667,130618.33333333326
4381,planta 1,exterior,1,63.0,True,False,Huertas-Cortes,centro,480000,480000.0,0.0
2646,planta 2,exterior,1,32.0,False,False,Comillas,carabanchel,134900,119879.2,15020.800000000003
1954,planta 4,interior,2,80.0,True,False,Recoletos,barrio de salamanca,840000,791121.0,48879.0
1436,planta 2,exterior,5,405.0,True,False,Recoletos,barrio de salamanca,4200000,3766320.0,433680.0
14478,planta 2,exterior,2,65.0,False,False,San Fermín,usera,146000,170157.31,-24157.309999999998
5720,planta 1,exterior,3,151.0,True,False,Nueva España,chamartin,930700,947290.3333333335,-16590.33333333349
15577,planta 3,exterior,2,69.0,False,False,Villaverde Alto,villaverde,149000,130156.0,18844.0
6600,planta 1,interior,2,61.0,False,False,Trafalgar,chamberi,357000,328698.25,28301.75
9176,planta 5,exterior,3,124.0,True,False,Sanchinarro,hortaleza,570000,542520.79,27479.209999999963
7899,planta 4,exterior,3,61.0,True,False,Pueblo Nuevo,ciudad lineal,155000,184268.22,-29268.22
10265,planta 5,exterior,3,68.0,False,False,Águilas,latina,159000,158556.66333333333,443.33666666666977
8202,planta 1,exterior,3,82.0,True,False,Peñagrande,fuencarral,340000,330701.0,9299.0
11246,planta 3,exterior,3,66.0,False,False,Numancia,puente-de-vallecas,137700,153777.3333333333,-16077.333333333314
6317,planta 7,exterior,5,630.0,True,True,Ático en Almagro,chamberi,7000000,3066392.0,3933608.0
12737,planta 3,exterior,3,85.0,False,False,Canillejas,san-blas,198000,258506.99,-60506.98999999999
1069,planta 3,exterior,2,225.0,True,True,Recoletos,barrio de salamanca,2200000,2223400.0,-23400.0
15628,planta 4,exterior,3,71.0,False,False,San Cristóbal,villaverde,105000,102518.2,2481.800000000003
11306,bajo,exterior,3,140.0,False,False,San Diego,puente-de-vallecas,224999,226819.55533333335,-1820.5553333333519
1185,planta 2,exterior,4,375.0,True,False,Recoletos,barrio de salamanca,6200000,5017650.0,1182350.0
12441,planta 1,exterior,4,181.0,True,True,Ibiza,retiro,1350000,1330900.0,19100.0
7583,bajo,exterior,2,80.0,True,True,Quintana,ciudad lineal,346000,341588.92,4411.080000000016
2363,planta 2,exterior,5,400.0,True,False,Recoletos,barrio de salamanca,3999000,3566420.0,432580.0
8115,chalet,exterior,4,250.0,False,True,Chalet adosado en Arroyo del Fresno,fuencarral,850000,856430.0,-6430.0
8016,planta 8,exterior,1,60.0,True,False,San Pascual,ciudad lineal,189000,226163.97,-37163.97
8170,bajo,exterior,3,126.0,True,True,Peñagrande,fuencarral,665000,638498.0,26502.0
6972,planta 3,exterior,2,125.0,True,False,Trafalgar,chamberi,755000,764995.5354545455,-9995.53545454552
11574,planta 1,exterior,3,73.0,False,False,Numancia,puente-de-vallecas,130000,160552.98,-30552.98000000001
9289,bajo,exterior,1,89.0,True,False,Virgen del Cortijo - Manoteras,hortaleza,188000,236533.0,-48533.0
10608,planta 1,exterior,3,80.0,False,False,Aravaca,moncloa,320000,312292.0,7708.0
9359,planta 4,exterior,2,116.0,True,False,Apóstol Santiago,hortaleza,580000,463450.0,116550.0
1734,bajo,exterior,1,59.0,True,False,Guindalera,barrio de salamanca,140000,194160.0,-54160.0
7354,planta 8,exterior,2,75.0,True,False,Concepción,ciudad lineal,240000,256767.12698412704,-16767.12698412704
14623,planta 3,interior,2,83.0,True,False,Moscardó,usera,236000,241110.48476190475,-5110.4847619047505
8941,planta 3,exterior,2,60.0,True,False,Pinar del Rey,hortaleza,179900,187733.80952380956,-7833.809523809556
9408,bajo,exterior,2,67.0,True,False,Canillas,hortaleza,255000,252385.0,2615.0
1455,planta 7,exterior,1,37.0,True,False,Goya,barrio de salamanca,230000,231300.0,-1300.0
10334,casa,exterior,6,488.0,False,True,Casa o chalet independiente en Aravaca,moncloa,1950000,2057690.0,-107690.0
903,planta 1,exterior,4,250.0,True,False,Recoletos,barrio de salamanca,2650000,2530750.0,119250.0
2656,planta 1,interior,3,71.0,True,False,Comillas,carabanchel,239000,217068.2,21931.79999999999
6848,planta 7,exterior,4,250.0,True,False,Ático en Almagro,chamberi,2000000,1331706.8112820513,668293.1887179487
15199,planta 1,exterior,2,90.0,True,True,Ensanche de Vallecas - La Gavia,villa-de-vallecas,285000,276751.75,8248.25
14816,bajo,exterior,3,90.0,True,False,Orcasitas,usera,150000,151866.7,-1866.7000000000116
5816,planta 1,interior,1,40.0,False,False,Prosperidad,chamartin,180000,179390.02380952385,609.9761904761544
14186,planta 1,exterior,1,41.0,False,False,Berruguete,tetuan,169500,164048.39714285714,5451.6028571428615
4585,planta 2,exterior,3,94.0,False,False,Lavapiés-Embajadores,centro,383000,358301.83333333326,24698.166666666744
7993,planta 3,exterior,2,54.0,False,False,Pueblo Nuevo,ciudad lineal,156000,155508.5,491.5
4576,bajo,exterior,1,50.0,True,False,Lavapiés-Embajadores,centro,249000,236005.5,12994.5
14555,planta 4,exterior,2,64.0,True,False,San Fermín,usera,132000,185058.7619047619,-53058.761904761894
1335,chalet,exterior,5,135.0,False,False,Casa o chalet independiente en Guindalera,barrio de salamanca,639000,675592.0,-36592.0
898,planta 6,exterior,6,471.0,True,True,Recoletos,barrio de salamanca,4155000,4165486.0714285714,-10486.071428571362
6197,planta 3,exterior,5,200.0,True,False,Gaztambide,chamberi,825000,828800.0,-3800.0
5219,planta 3,exterior,3,82.0,False,False,Ciudad Jardín,chamartin,399000,350932.0,48068.0
10772,bajo,exterior,2,95.0,True,False,Argüelles,moncloa,530000,488479.0,41521.0
9728,planta 2,exterior,3,63.0,False,False,Los Cármenes,latina,137900,141974.47,-4074.470000000001
13158,planta 3,exterior,2,45.0,False,False,Hellín,san-blas,104999,149088.32333333333,-44089.323333333334
5436,planta 2,interior,1,70.0,True,False,Prosperidad,chamartin,233700,279583.848,-45883.848
7810,planta 2,exterior,4,202.0,True,True,Colina,ciudad lineal,990000,1033755.6666666665,-43755.66666666651
11927,bajo,exterior,2,50.0,True,False,Numancia,puente-de-vallecas,137000,129030.0,7970.0
618,bajo,exterior,3,101.0,True,False,Imperial,Arganzuela,299000,310239.99,-11239.98999999999
4118,planta 2,exterior,2,162.0,False,False,Sol,centro,920000,921705.0,-1705.0
15099,planta 4,exterior,2,56.0,True,False,Ambroz,vicalvaro,129500,138785.45,-9285.450000000012
9929,bajo,exterior,2,87.0,True,False,Puerta del Ángel,latina,220000,209626.0133333333,10373.986666666693
15444,planta 6,exterior,2,111.0,True,True,Ensanche de Vallecas - La Gavia,villa-de-vallecas,346000,352785.0,-6785.0
12544,planta 6,exterior,2,104.0,True,False,Pacífico,retiro,456900,490791.02857142856,-33891.02857142856
7392,planta 3,exterior,1,71.0,True,True,San Juan Bautista,ciudad lineal,382000,370770.0,11230.0
13397,planta 2,exterior,3,105.0,True,False,Bellas Vistas,tetuan,425000,435224.1666666666,-10224.166666666628
1913,bajo,exterior,3,104.0,True,False,Goya,barrio de salamanca,265000,375224.0,-110224.0
9640,planta 2,exterior,3,92.0,True,False,Puerta del Ángel,latina,304000,202855.97333333336,101144.02666666664
12202,planta 1,exterior,3,185.0,True,False,Pacífico,retiro,648900,657200.9966666666,-8300.996666666586
10632,planta 1,exterior,3,216.0,True,True,Aravaca,moncloa,1350000,1104963.88,245036.1200000001
9283,planta 4,exterior,2,61.0,True,False,Canillas,hortaleza,289000,280260.0,8740.0
1421,planta 5,exterior,1,45.0,True,True,Goya,barrio de salamanca,367000,358098.0,8902.0
15490,planta 1,exterior,4,141.0,True,True,Villaverde Alto,villaverde,205000,224632.0,-19632.0
6742,planta 2,exterior,3,121.0,True,False,Almagro,chamberi,850000,795274.99,54725.01000000001
289,planta 1,exterior,3,68.0,True,False,Acacias,Arganzuela,300000,303210.0,-3210.0
664,planta 3,exterior,3,132.0,True,True,Campo de las Naciones-Corralejos,barajas,550000,479733.1666666666,70266.83333333337
8022,planta 3,exterior,2,150.0,True,True,Quintana,ciudad lineal,500000,485509.0,14491.0
442,planta 1,exterior,1,65.0,True,True,Delicias,Arganzuela,360800,354917.2,5882.799999999988
12098,planta 6,exterior,2,138.0,True,True,Ático en Ibiza,retiro,880000,891750.0,-11750.0
11142,planta 3,exterior,3,59.0,True,False,Vinateros,moratalaz,169000,194450.14285714287,-25450.14285714287
5866,planta 1,exterior,4,245.0,True,True,Nueva España,chamartin,1350000,1314140.0,35860.0
10795,planta 7,exterior,1,54.0,True,False,Argüelles,moncloa,280000,300770.0,-20770.0
15423,planta 2,exterior,1,47.0,True,False,Ensanche de Vallecas - La Gavia,villa-de-vallecas,163500,144826.82,18673.179999999993
8065,planta 19,exterior,4,330.0,True,True,Costillares,ciudad lineal,1330000,1465370.0,-135370.0
11990,planta 5,exterior,3,105.0,True,False,Pacífico,retiro,449000,486000.83333333326,-37000.833333333256
6095,planta 5,exterior,4,229.0,True,False,Nuevos Ministerios-Ríos Rosas,chamberi,890000,1145589.98,-255589.97999999998
2366,planta 3,interior,1,40.0,False,False,Goya,barrio de salamanca,330000,302779.94,27220.059999999998
15495,planta 14,exterior,4,115.0,True,False,Los Ángeles,villaverde,237000,239648.99,-2648.9899999999907
15708,planta 4,interior,3,76.0,True,False,Villaverde Alto,villaverde,119000,145041.5,-26041.5
5010,planta 1,exterior,3,111.0,True,False,Prosperidad,chamartin,570000,540093.58,29906.420000000042
14368,planta 4,exterior,3,101.0,False,False,Moscardó,usera,370000,245184.36285714287,124815.63714285713
7966,entreplanta,exterior,3,51.0,False,False,Pueblo Nuevo,ciudad lineal,122500,157592.25466666667,-35092.254666666675
11547,bajo,exterior,1,65.0,False,False,Numancia,puente-de-vallecas,90000,106327.95,-16327.949999999997
9215,planta 8,exterior,3,212.0,True,True,Valdebebas - Valdefuentes,hortaleza,1000000,934696.6066666666,65303.39333333343
2686,planta 4,exterior,4,106.0,True,False,San Isidro,carabanchel,365000,346967.5,18032.5
12196,planta 7,interior,4,106.0,True,False,Ibiza,retiro,675000,664230.0,10770.0
1336,planta 7,exterior,2,86.0,True,True,Ático en Goya,barrio de salamanca,800000,718330.5,81669.5
8647,bajo,exterior,3,42.0,False,False,Tres Olivos - Valverde,fuencarral,92400,120315.0,-27915.0
7204,planta 12,exterior,7,413.0,True,True,Costillares,ciudad lineal,1700000,1585517.3666666665,114482.63333333354
12881,planta 1,exterior,1,49.0,True,True,Rejas,san-blas,160000,214665.0,-54665.0
724,planta 3,exterior,2,138.0,True,True,Campo de las Naciones-Corralejos,barajas,475000,456424.5785714286,18575.421428571397
1399,planta 3,exterior,4,144.0,True,False,Guindalera,barrio de salamanca,648000,632815.15,15184.849999999977
9068,planta 1,exterior,1,80.0,True,True,Pinar del Rey,hortaleza,199900,209103.72333333333,-9203.723333333328
12827,planta 4,exterior,3,120.0,True,True,Rejas,san-blas,389000,400585.92,-11585.919999999984
